Date,BET,BET-C,BET-FI,ROTX,BET-XT,BET-NG,BET-BK
2014-06-02,6684.33,3322.84,28878.06,13127.78,602.54,665.66,1226.09
2014-05-30,6722.53,3336.86,28699.43,13134.58,604.34,668.75,1224.67
2014-05-29,6662.2,3299.74,28402.64,13018.88,598.97,659.5,1214.89
2014-05-28,6556.44,3255.92,28303.28,12859.45,591.51,648.22,1206.39
2014-05-27,6523.21,3249.0,28743.61,12794.86,591.26,648.45,1210.39
2014-05-26,6488.91,3239.73,28908.74,12700.2,590.03,647.96,1211.15
2014-05-23,6448.25,3238.63,28907.13,12584.61,587.07,649.79,1205.07
2014-05-22,6376.79,3212.83,28564.92,12435.15,580.46,645.4,1193.61
2014-05-21,6360.43,3207.28,28207.29,12371.29,577.34,646.16,1186.45
2014-05-20,6439.26,3235.21,28362.56,12464.26,583.45,650.27,1191.36
2014-05-19,6456.6,3248.63,28262.5,12481.07,584.46,656.21,1193.46
2014-05-16,6428.33,3249.36,28254.21,12445.97,582.62,660.08,1195.48
2014-05-15,6426.35,3243.54,27898.77,12480.18,580.48,660.67,1190.42
2014-05-14,6463.65,3237.55,27506.17,12603.29,580.88,663.34,1194.57
2014-05-13,6588.84,3321.92,27599.77,12779.62,590.32,686.63,1210.2
2014-05-12,6605.86,3325.59,27423.25,12827.57,591.19,687.79,1213.12
2014-05-09,6608.75,3326.04,27176.22,12854.12,590.43,688.78,1211.08
2014-05-08,6550.92,3310.86,27172.0,12767.35,586.47,686.36,1206.9
2014-05-07,6475.3,3280.88,26807.82,12596.58,579.56,680.4,1191.42
2014-05-06,6423.66,3257.83,26616.93,12545.49,575.59,675.39,1184.0
2014-05-05,6401.39,3251.45,26710.72,12524.05,574.44,674.55,1182.31
2014-05-02,6432.35,3268.03,27003.55,12590.52,578.69,680.19,1195.91
2014-04-30,6424.43,3268.16,26952.64,12585.95,578.01,679.54,1195.08
2014-04-29,6328.45,3230.26,26541.27,12417.48,569.17,668.68,1181.68
2014-04-28,6331.79,3229.76,26913.18,12349.96,571.18,667.99,1181.72
2014-04-25,6417.32,3269.87,27384.01,12583.3,577.27,670.28,1193.41
2014-04-24,6479.57,3293.63,27615.68,12697.82,582.6,676.0,1202.38
2014-04-23,6509.83,3307.09,27914.33,12782.12,586.39,680.4,1212.81
2014-04-22,6513.09,3307.05,28042.24,12813.92,587.24,681.22,1214.14
2014-04-18,6491.51,3290.78,28099.34,12759.49,585.92,675.17,1208.92
2014-04-17,6500.3,3289.17,27930.29,12749.4,585.56,674.72,1205.36
2014-04-16,6497.88,3289.06,28178.46,12727.86,586.81,676.6,1209.57
2014-04-15,6489.77,3275.98,28255.66,12706.79,586.58,672.39,1208.87
2014-04-14,6409.2,3238.32,27997.17,12574.28,579.46,664.41,1193.61
2014-04-11,6435.31,3247.78,27716.25,12662.45,579.59,661.0,1190.17
2014-04-10,6472.11,3278.09,27831.05,12745.43,582.65,668.07,1193.54
2014-04-09,6460.13,3259.11,27898.93,12747.71,581.76,660.05,1190.57
2014-04-08,6449.41,3263.63,27883.76,12683.76,580.9,660.29,1188.51
2014-04-07,6461.88,3269.3,28552.65,12807.21,585.22,661.7,1203.0
2014-04-04,6451.61,3260.82,28689.97,12854.92,585.49,657.9,1209.56
2014-04-03,6457.69,3256.78,28692.87,12806.55,585.64,656.35,1205.8
2014-04-02,6431.97,3242.38,28820.51,12736.98,584.22,653.47,1202.83
2014-04-01,6359.05,3214.83,28897.69,12631.86,579.22,644.63,1198.56
2014-03-31,6323.74,3201.69,28935.81,12509.02,576.53,643.29,1192.56
2014-03-28,6331.09,3206.25,28862.76,12452.16,576.64,644.81,1189.78
2014-03-27,6333.65,3209.36,28900.18,12458.22,577.66,647.45,1190.1
2014-03-26,6317.11,3202.89,28843.23,12453.84,576.87,650.28,1189.4
2014-03-25,6248.65,3172.56,28551.65,12284.16,571.61,643.31,1174.59
2014-03-24,6266.6,3175.04,28586.49,12334.39,573.46,642.85,1180.05
2014-03-21,6239.38,3173.57,28868.98,12498.07,572.78,647.67,1186.51
2014-03-20,6291.44,3191.15,28987.71,12476.8,577.27,647.18,1195.2
2014-03-19,6272.32,3186.35,28984.48,12482.13,576.05,645.56,1194.82
2014-03-18,6276.65,3193.56,29321.18,12465.98,577.84,645.84,1199.34
2014-03-17,6242.63,3181.45,29187.79,12381.94,574.79,644.35,1193.7
2014-03-14,6135.55,3127.26,28590.07,12196.36,564.6,631.8,1173.03
2014-03-13,6228.95,3164.38,28896.34,12398.17,572.33,638.22,1188.05
2014-03-12,6255.62,3169.51,29070.03,12461.56,575.32,635.51,1193.57
2014-03-11,6328.56,3204.51,29672.39,12647.01,582.8,642.37,1209.42
2014-03-10,6324.13,3211.61,29574.84,12684.18,581.76,642.6,1211.81
2014-03-07,6377.61,3232.45,29867.8,12794.32,586.95,646.32,1220.94
2014-03-06,6389.2,3249.05,30151.45,12865.71,588.95,649.87,1229.67
2014-03-05,6331.53,3228.07,29762.81,12746.31,583.03,645.4,1215.43
2014-03-04,6305.44,3211.14,29517.34,12663.0,578.81,640.19,1199.04
2014-03-03,6190.96,3160.48,28766.41,12398.82,568.05,632.93,1176.04
2014-02-28,6435.58,3268.72,30304.38,12927.12,592.39,652.84,1227.03
